id,title,current_price,original_price,discount_text,image_url,unit_size,url,scrape_date,store
,Hak Veldertjes jonge kapucijners,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363435?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Stamppotaardappelen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313135373734?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Valle del sole Rode splitlinzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239353933363937?revLabel=5&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Edamame bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239363635363231?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Linzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303435343630?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kapucijners,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036343033?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kidneybonen chilischotel,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303130343836?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Kikkererwten,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303437353036?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Kikkererwten,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303431383735?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Tortilla schotel,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303130343837?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Chili bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313035303638?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Chilibonen in saus,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303537323535?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente rettich,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313034383138?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Prinses op de erwt verspakket,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313433323837?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bruine bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333835?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Rouges,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313135373737?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Linzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303432363438?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Doperwtjes,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363434?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Tuinboontjes,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363635?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Mexicanez wraps,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239383533373836?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Avocado Eetrijp 3-pack,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303038333638?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente paprika wortel,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313034383139?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bruine bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343032?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Gesneden bonen met witte bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363530?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,"Hak Bonenmix kidney, wit en bruin",0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333930?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Edamame bonen 2 mini's,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303431323935?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Mexicanez nachos,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239383533373838?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Sperziebonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363630?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Edamame bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303431353139?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Kapucijners,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036343032?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Linzen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303036343135?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Valle del sole Groene spliterwten,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239363330363338?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente paprika bleekselderij,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313134393137?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
